doc_id,category,filename,title,title_removal_mode,removed_title_text,retained_first_line_body,sentence_count,avg_sentence_len,median_sentence_len
575,03_3人际沟通,2017_04_27 我们的青春期，都是丑过来的 conv.txt,2017_04_27 我们的青春期，都是丑过来的,date_header_standalone_line,我们的青春期，都是丑过来的 原创：咪蒙 咪蒙 2017-04-27,,112,23.54,22.0
576,03_3人际沟通,2017_05_10 我不怕陷入深渊，我只怕无人声援 conv.txt,2017_05_10 我不怕陷入深渊，我只怕无人声援,date_header_standalone_line,我不怕陷入深渊，我只怕无人声援 原创：咪蒙 咪蒙 2017-05-10,,104,24.06,21.0
577,03_3人际沟通,2017_05_14 不要只在朋友圈深爱你爸妈 conv.txt,2017_05_14 不要只在朋友圈深爱你爸妈,date_header_standalone_line,不要只在朋友圈深爱你爸妈 原创：咪蒙 咪蒙 2017-05-14,,78,24.79,21.0
578,03_3人际沟通,2017_05_18 甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜 conv.txt,2017_05_18 甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜,date_header_standalone_line,甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜甜 原创：咪蒙 咪蒙 2017-05-18,,75,27.53,22.0
579,03_3人际沟通,2017_05_23 你有没有想过，你会平庸到死 conv.txt,2017_05_23 你有没有想过，你会平庸到死,date_header_standalone_line,你有没有想过，你会平庸到死 原创：咪蒙 咪蒙 2017-05-23,,107,23.64,19.0
581,03_3人际沟通,2017_05_27 我做了一场梦，康熙回来了 conv.txt,2017_05_27 我做了一场梦，康熙回来了,date_header_standalone_line,我做了一场梦，康熙回来了 原创：咪蒙 咪蒙 2017-05-27,,98,22.71,18.5
582,03_3人际沟通,2017_06_05 天天偷看男朋友手机，你这么活着不累么？ conv.txt,2017_06_05 天天偷看男朋友手机，你这么活着不累么？,date_header_standalone_line,天天偷看男朋友手机，你这么活着不累么？ 原创：咪蒙 咪蒙 2017-06-05,,84,27.73,25.0
584,03_3人际沟通,2017_06_06 _裙子那么短，你穿出去给谁看？_ conv.txt,2017_06_06 _裙子那么短，你穿出去给谁看？_,date_header_standalone_line,“裙子那么短，你穿出去给谁看？” 原创：咪蒙 咪蒙 2017-06-06,,77,23.19,21.0
586,03_3人际沟通,2017_07_07 我男朋友劈腿了，和我 conv.txt,2017_07_07 我男朋友劈腿了，和我,date_header_standalone_line,我男朋友劈腿了，和我 原创：小撒 咪蒙 2017-07-07,,156,18.42,17.0
587,03_3人际沟通,2017_07_11 简历写了一夜，依然不够一页 conv.txt,2017_07_11 简历写了一夜，依然不够一页,date_header_standalone_line,简历写了一夜，依然不够一页 原创：pp 咪蒙 2017-07-11,,97,25.84,23.0
588,03_3人际沟通,2017_07_18 我讨厌你什么都不做，还挑三拣四的样子 conv.txt,2017_07_18 我讨厌你什么都不做，还挑三拣四的样子,date_header_with_inline_body,我讨厌你什么都不做，还挑三拣四的样子 原创：咪蒙 咪蒙 2017-07-18,毕业旅行的结果是什么？ 可能是怀孕。 也可能是绝交。,97,26.52,22.0
589,03_3人际沟通,2017_07_19 前半生到处放荡，直到遇见你 conv.txt,2017_07_19 前半生到处放荡，直到遇见你,date_header_with_inline_body,前半生到处放荡，直到遇见你 咪蒙 咪蒙 2017-07-19,从这周开始，我们随机播放一些乱七八糟的栏目，接下来，调查一下你们的感受。 对于今天这条推送，你们是喜欢呢，还是特别喜欢？,3,21.0,22.0
590,03_3人际沟通,2017_07_25 懒得取标题，你自己看 conv.txt,2017_07_25 懒得取标题，你自己看,date_header_with_inline_body,懒得取标题，你自己看 原创：咪蒙 咪蒙 2017-07-25,同学们，最近有种传染病十分可怕，好多人都被传染了！！！ 我也被传染了，医生说我需要静养，你们也要注意健康啊。,36,37.56,33.0
591,03_3人际沟通,2017_07_27 别来打扰我，免得耽误我想你 conv.txt,2017_07_27 别来打扰我，免得耽误我想你,date_header_standalone_line,别来打扰我，免得耽误我想你 原创：爆炸糖团队 咪蒙 2017-07-27,,30,22.83,20.5
592,03_3人际沟通,2017_07_31 1个宿舍，6个女生，42个微信群 conv.txt,2017_07_31 1个宿舍，6个女生，42个微信群,date_header_with_inline_body,1个宿舍，6个女生，42个微信群 原创：咪蒙 咪蒙 2017-07-31,尴尬了。 粉丝小win说，前几天，有个同事在办公室说，我看到一个内涵笑话，发到群里啊。 其他所有人看了手机，都笑崩了。,93,27.72,22.0
